ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
Alessandro_Volta	Was Alessandro Volta a professor of chemistry?	Alessandro Volta was not a professor of chemistry.	easy	easy	S10_set4_a10
Alessandro_Volta	Was Alessandro Volta a professor of chemistry?	No	easy	hard	S10_set4_a10
Alessandro_Volta	Did Alessandro Volta invent the remotely operated pistol?	Alessandro Volta did invent the remotely operated pistol.	easy	easy	S10_set4_a10
Alessandro_Volta	Did Alessandro Volta invent the remotely operated pistol?	Yes	easy	easy	S10_set4_a10
Alessandro_Volta	Was Alessandro Volta taught in public schools?	Volta was taught in public schools.	easy	easy	S10_set4_a10
Alessandro_Volta	Was Alessandro Volta taught in public schools?	Yes	easy	easy	S10_set4_a10
Alessandro_Volta	Who did Alessandro Volta marry?	Alessandro Volta married Teresa Peregrini.	medium	medium	S10_set4_a10
Alessandro_Volta	Who did Alessandro Volta marry?	Teresa Peregrini	medium	medium	S10_set4_a10
Alessandro_Volta	What did Alessandro Volta invent in 1800?	In 1800, Alessandro Volta invented the voltaic pile.	medium	easy	S10_set4_a10
Alessandro_Volta	What did Alessandro Volta invent in 1800?	voltaic pile	medium	medium	S10_set4_a10
Alessandro_Volta	What is the battery made by Alessandro Volta credited as?	The battery made by Volta is credited as the first electrochemical cell.	medium	medium	S10_set4_a10
Alessandro_Volta	What is the battery made by Alessandro Volta credited as?	the first electrochemical cell	medium	medium	S10_set4_a10
Alessandro_Volta	Did Alessandro Volta die and retire in the same place?	Alessandro Volta retired and died in the same place.	hard	hard	S10_set4_a10
Alessandro_Volta	Did Alessandro Volta die and retire in the same place?	Yes	hard	hard	S10_set4_a10
Alessandro_Volta	When did Alessandro Volta improve  and popularize the electrophorus?	Alessandro Volta improved and popularized the electrophorus in 1775.	hard	hard	S10_set4_a10
Alessandro_Volta	When did Alessandro Volta improve  and popularize the electrophorus?	1775	hard	hard	S10_set4_a10
Alessandro_Volta	How long was Alessandro Volta a professor at the University of Pavia?	Alessandro Volta was a professor at the University of Pavia for almost 25 years.	hard	hard	S10_set4_a10
Alessandro_Volta	How long was Alessandro Volta a professor at the University of Pavia?	almost 25 years	hard	hard	S10_set4_a10
Alessandro_Volta	Was Alessandro Volta an Egyptian?	no	easy	easy	S10_set4_a10
Alessandro_Volta	Was Alessandro Volta an Egyptian?	No.	easy	easy	S10_set4_a10
Alessandro_Volta	Was Volta taught in public schools?	yes	easy	easy	S10_set4_a10
Alessandro_Volta	Was Volta taught in public schools?	Yes.	easy	easy	S10_set4_a10
Alessandro_Volta	Was Volta made a count in 1810?	yes	easy	easy	S10_set4_a10
Alessandro_Volta	Was Volta made a count in 1810?	No.	easy	easy	S10_set4_a10
Alessandro_Volta	Who made Volta a count?	Napoleon	medium	medium	S10_set4_a10
Alessandro_Volta	Who made Volta a count?	Napoleon	medium	medium	S10_set4_a10
Alessandro_Volta	Where was Volta born?	Como	medium	medium	S10_set4_a10
Alessandro_Volta	Where was Volta born?	Como, Italy	medium	medium	S10_set4_a10
Alessandro_Volta	When did Volta retire?	1819	medium	medium	S10_set4_a10
Alessandro_Volta	When did Volta retire?	In 1819.	medium	medium	S10_set4_a10
Alessandro_Volta	A year before improving and popularizing the electrophorus, what did Volta become?	A professor of physics at the Royal School in Como	hard	hard	S10_set4_a10
Alessandro_Volta	Was Volta buried where he died or was he buried someplace else?	where he died	hard	hard	S10_set4_a10
Alessandro_Volta	Was Volta buried where he died or was he buried someplace else?	Yes.	hard	hard	S10_set4_a10
Alessandro_Volta	Did Volta marry before he became professor of experimental physics at the University of Pavia?	no	hard	medium	S10_set4_a10
Alessandro_Volta	Did Volta marry before he became professor of experimental physics at the University of Pavia?	No.	hard	hard	S10_set4_a10
Alessandro_Volta	What happened in 1810?	Volta was made a count by Napoleon.	NULL	hard	S10_set4_a10
Alessandro_Volta	Wasn't Alessandro Volta born in Como?	Yes, Volta was born in Como, Italy and was taught in the public schools there.	NULL	easy	S10_set4_a10
Alessandro_Volta	Was Alessandro Volta born in Como?	yes	NULL	easy	S10_set4_a10
Alessandro_Volta	Who became a professor of physics at the Royal School in Como?	Volta.	NULL	hard	S10_set4_a10
Alessandro_Volta	When was Volta made a count by Napoleon?	Volta was made a count by Napoleon in 1810.	NULL	medium	S10_set4_a10
Alessandro_Volta	Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?	Yes	NULL	easy	S10_set4_a10
Alessandro_Volta	Is the battery made by Volta credited as the first electrochemical cell?	Yes	NULL	easy	S10_set4_a10
Alessandro_Volta	Was Volta made a count by Napoleon in 1810?	Yes, Volta was made a count by Napoleon in 1810.	NULL	easy	S10_set4_a10
Alessandro_Volta	In what year did he become a professor of physics at the Royal School in Como?	1774	NULL	medium	S10_set4_a10
Amedeo_Avogadro	Was Avogadro a  professor at the University of Turin?	Yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Was Avogadro a  professor at the University of Turin?	Yes, Avogadro was a professor at the University of Turin.	easy	easy	S10_set4_a8
Amedeo_Avogadro	Was he a member of the Royal Superior Council on Public Instruction?	Yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Was he a member of the Royal Superior Council on Public Instruction?	Yes,  Avogadro was a member of the Royal Superior Council on Public Instruction.	easy	easy	S10_set4_a8
Amedeo_Avogadro	Is Avogadro's number used to compute the results of chemical reactions?	Yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Is Avogadro's number used to compute the results of chemical reactions?	Yes, Avagadro's number is used to compute the results of chemical reactions.	easy	easy	S10_set4_a8
Amedeo_Avogadro	Who first calculated the value of Avogadro's number?	Johann Josef Loschmidt	medium	medium	S10_set4_a8
Amedeo_Avogadro	Who first calculated the value of Avogadro's number?	Johann Josef Loschmidt first calculated the value of Avogadro's number.	medium	medium	S10_set4_a8
Amedeo_Avogadro	What does Avogadro's Law state?	The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights	medium	hard	S10_set4_a8
Amedeo_Avogadro	What does Avogadro's Law state?	Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.	medium	too hard	S10_set4_a8
Amedeo_Avogadro	Who showed that Avogadro's theory held in dilute solutions?	Jacobus Henricus van Hoff	medium	medium	S10_set4_a8
Amedeo_Avogadro	Who showed that Avogadro's theory held in dilute solutions?	Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.	medium	medium	S10_set4_a8
Amedeo_Avogadro	In what language was his 1811 paper published?	French	hard	hard	S10_set4_a8
Amedeo_Avogadro	In what language was his 1811 paper published?	Avogadro's 1811 paper was published in French.	hard	hard	S10_set4_a8
Amedeo_Avogadro	Who was Avogadro's wife?	Felicita Mazz	hard	hard	S10_set4_a8
Amedeo_Avogadro	Who was Avogadro's wife?	Felicita Mazzé was Avogadro's wife.	hard	hard	S10_set4_a8
Amedeo_Avogadro	Why did Avogadro lose his chair at the University of Turin?	He was active in the revolutionary movements of 1821 against the king of Sardinia	hard	hard	S10_set4_a8
Amedeo_Avogadro	Why did Avogadro lose his chair at the University of Turin?	Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.	hard	hard	S10_set4_a8
Amedeo_Avogadro	Was Amedeo Avogadro was born in Turin?	Yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Was Amedeo Avogadro was born in Turin?	yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Is Avogadro hailed as a founder of the atomic-molecular theory?	Yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Is Avogadro hailed as a founder of the atomic-molecular theory?	yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Did Johann Josef Loschmidt first calculate the value of Avogadro's number?	Yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	Did Johann Josef Loschmidt first calculate the value of Avogadro's number?	yes	easy	easy	S10_set4_a8
Amedeo_Avogadro	In 1820, Avogadro became a professor of physics where?	University of Turin	medium	medium	S10_set4_a8
Amedeo_Avogadro	In 1820, Avogadro became a professor of physics where?	University of Turin	medium	hard	S10_set4_a8
Amedeo_Avogadro	Avogadro did not actually use what word?	atom	medium	medium	S10_set4_a8
Amedeo_Avogadro	Avogadro did not actually use what word?	atom	medium	medium	S10_set4_a8
Amedeo_Avogadro	The number of elementary entities in 1 mole of a substance is known as what?	Avogadro constant	medium	medium	S10_set4_a8
Amedeo_Avogadro	The number of elementary entities in 1 mole of a substance is known as what?	Avogadro's constant	medium	medium	S10_set4_a8
Amedeo_Avogadro	What would a German call Avogadro's number?	Loschmidt number	hard	medium	S10_set4_a8
Amedeo_Avogadro	What would a German call Avogadro's number?	Loschmidt number	hard	hard	S10_set4_a8
Amedeo_Avogadro	Is Amedeo Avogadro Italian?	Yes	hard	easy	S10_set4_a8
Amedeo_Avogadro	Is Amedeo Avogadro Italian?	yes	hard	hard	S10_set4_a8
Amedeo_Avogadro	Did he become a professor before the revolutionary movements against the king of Sardinia?	Yes	hard	hard	S10_set4_a8
Amedeo_Avogadro	Did he become a professor before the revolutionary movements against the king of Sardinia?	yes	hard	hard	S10_set4_a8
Ant	Do ants belong to the Hymenoptera order?	yes	easy	easy	S10_set1_a1
Ant	Do ants belong to the Hymenoptera order?	yes	easy	easy	S10_set1_a1
Ant	Are ants used in cuisine?	yes	easy	easy	S10_set1_a1
Ant	Are ants used in cuisine?	yes	easy	medium	S10_set1_a1
Ant	Does an ant's head contain sensory organs?	yes	easy	easy	S10_set1_a1
Ant	Does an ant's head contain sensory organs?	yes	easy	easy	S10_set1_a1
Ant	How do most ants travel?	most ants travel by walking	medium	medium	S10_set1_a1
Ant	How do most ants travel?	by walking	medium	easy	S10_set1_a1
Ant	In ant colonies, what are the fertile female ants called?	"queens"	medium	medium	S10_set1_a1
Ant	In ant colonies, what are the fertile female ants called?	queens	medium	medium	S10_set1_a1
Ant	Who wrote about ants in A Tramp Abroad?	mark twain wrote about ants	medium	medium	S10_set1_a1
Ant	Who wrote about ants in A Tramp Abroad?	Mark Twain	medium	easy	S10_set1_a1
Ant	Do the ants eat plants, meats, or both?	both	hard	too hard	S10_set1_a1
Ant	What organs gives a bull ant its good sight?	compound eyes	hard	too hard	S10_set1_a1
Ant	What may happen to red fire ants if we use boiling water on the queen?	nests of red fire ants may be destroyed	hard	medium	S10_set1_a1
Ant	What may happen to red fire ants if we use boiling water on the queen?	die	hard	too hard	S10_set1_a1
Ant	Are ants found in Antartica?	No, there are no ants in antarctica.	easy	easy	S10_set1_a1
Ant	Are ants found in Antartica?	NULL	easy	NULL	S10_set1_a1
Ant	Do male ants take flight before females?	Yes, male ants take flight before females.	easy	easy	S10_set1_a1
Ant	Do male ants take flight before females?	NULL	easy	NULL	S10_set1_a1
Ant	Do worker ants have wings?	No, worker ants do not have wings.	easy	easy	S10_set1_a1
Ant	Do worker ants have wings?	NULL	easy	NULL	S10_set1_a1
Ant	What are the three segments of an ant?	The head, mesosoma and metasoma are the three distinct body segments.	medium	hard	S10_set1_a1
Ant	What are the three segments of an ant?	NULL	medium	NULL	S10_set1_a1
Ant	What are the ant colonies that lack queens called?	Colonies that lack queens are called gamergate colonies.	medium	medium	S10_set1_a1
Ant	What are the ant colonies that lack queens called?	NULL	medium	NULL	S10_set1_a1
Ant	Where are bullet ants located?	Bullet ants are located in Central and South America.	medium	medium	S10_set1_a1
Ant	Where are bullet ants located?	NULL	medium	NULL	S10_set1_a1
Ant	Do ants belong to the same order as bees?	Yes, ants belong to the same order as bees.	hard	medium	S10_set1_a1
Ant	Do ants belong to the same order as bees?	NULL	hard	NULL	S10_set1_a1
Ant	What is the most common color of ants?	Most ants are red or black.	hard	hard	S10_set1_a1
Ant	What is the most common color of ants?	NULL	hard	NULL	S10_set1_a1
Ant	Do all ants build nests?	No, not all ants build nests.	hard	medium	S10_set1_a1
Ant	Do all ants build nests?	NULL	hard	NULL	S10_set1_a1
Ant	Ultraviolet vision was first discovered in ants by Sir who in 1881?	John Lubbok	NULL	medium	S10_set1_a1
Ant	Do ants thrive in most ecosystems?	Yes.	NULL	easy	S10_set1_a1
Ant	Are several species of ants able to use the Earths magnetic field?	yes	NULL	easy	S10_set1_a1
Ant	Are termites actually more closely related to cockroaches as well as mantids?	Yes, termites are actually more closely related to cockroaches as well as mantids.	NULL	easy	S10_set1_a1
Ant	Do some caterpillars produce vibrations as well as sounds?	yes	NULL	easy	S10_set1_a1
Ant	Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?	yes	NULL	easy	S10_set1_a1
Ant	Is the ant a marsupial?	no	NULL	medium	S10_set1_a1
Ant	Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?	Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.	NULL	easy	S10_set1_a1
Antwerp	Is Antwerp a city?	Yes	easy	easy	S10_set3_a4
Antwerp	Is Antwerp a city?	NULL	easy	NULL	S10_set3_a4
Antwerp	Is Antwerp a municipality?	Yes	easy	easy	S10_set3_a4
Antwerp	Is Antwerp a municipality?	NULL	easy	NULL	S10_set3_a4
Antwerp	Is Antwerp in Belgium?	Yes	easy	easy	S10_set3_a4
Antwerp	Is Antwerp in Belgium?	NULL	easy	NULL	S10_set3_a4
Antwerp	What is Antwerp?	Antwerp is a city and municipality in Belgium.	medium	easy	S10_set3_a4
Antwerp	What is Antwerp?	NULL	medium	NULL	S10_set3_a4
Antwerp	What is the population of the city of Antwerp?	Antwerp's population is 472,071.	medium	medium	S10_set3_a4
Antwerp	What is the population of the city of Antwerp?	NULL	medium	NULL	S10_set3_a4
Antwerp	Where is the city of Antwerp?	Antwerp is in Belgium	medium	medium	S10_set3_a4
Antwerp	Where is the city of Antwerp?	NULL	medium	NULL	S10_set3_a4
Antwerp	Why is Antwerp important to fashion?	Yes	hard	medium	S10_set3_a4
Antwerp	Why is Antwerp important to fashion?	NULL	hard	NULL	S10_set3_a4
Antwerp	Antwerp is to the east of what river?	Antwerp is to the east of the Scheldt river	hard	too hard	S10_set3_a4
Antwerp	Antwerp is to the east of what river?	NULL	hard	NULL	S10_set3_a4
Antwerp	How many municipalities does Antwerp have?	None, Antwerp is a municipality.	hard	medium	S10_set3_a4
